alkalize.verb
acetify.verb
acidify.verb
alkalify.verb
alkalise.verb
basify.verb
a_cappella.adv
breathe.verb
respire.verb
suspire.verb
take_a_breath.verb
a.d..adv
ad.adv
anno_domini.adv
c.e..adv
ce.adv
common_era.adv
abstract_entity.noun
abstraction.noun
b.c..adv
bc.adv
before_christ.adv
b.c.e..adv
abaxial.adj
horseback.adv
physical_entity.noun
adaxial.adj
ventral.adj
object.noun
physical_object.noun
abducting.adj
adducting.adj
adductive.adj
belch.verb
bubble.verb
burp.verb
eruct.verb
unit.noun
hiccough.verb
hiccup.verb
dying.adj
congener.noun
suspire.verb
moribund.adj
breathe_out.verb
exhale.verb
expire.verb
animate_thing.noun
living_thing.noun
last.adj
being.noun
emanate.verb
cut.adj
shortened.adj
but.adv
half-length.adj
sneeze.verb
breathe_in.verb
inhale.verb
inspire.verb
plainly.adv
simply.adv
implicit.adj
unquestioning.adj
cough.verb
heterotroph.noun
hack.verb
whoop.verb
mostly.adv
parent.noun
cough_out.verb
cough_up.verb
expectorate.verb
spit_out.verb
spit_up.verb
aspirate.verb
relational.adj
life.noun
absorbent.adj
absorptive.adj
biont.noun
hygroscopic.adj
causal_agency.noun
causal_agent.noun
cause.noun
spongelike.adj
spongy.adj
sniff.verb
sniffle.verb
part.adv
partly.adv
blink.verb
nictate.verb
nictitate.verb
wink.verb
individual.noun
mortal.noun
person.noun
somebody.noun
someone.noun
soul.noun
bat.verb
flutter.verb
adsorbent.adj
wink.verb
blink.verb
blink_away.verb
wink.verb
alone.adv
entirely.adv
exclusively.adv
only.adv
solely.adv
squint.verb
squint.verb
exuviate.verb
molt.verb
moult.verb
shed.verb
slough.verb
desquamate.verb
peel_off.verb
plumb.adv
move_involuntarily.verb
move_reflexively.verb
act_involuntarily.verb
act_reflexively.verb
behave.verb
do.verb
fully.adv
to_the_full.adv
edacious.adj
esurient.adj
rapacious.adj
ravening.adj
ravenous.adj
voracious.adj
wolfish.adj
vulgarise.verb
vulgarize.verb
ideologic.adj
ideological.adj
play.verb
objective.adj
act.verb
act_as.verb
play.verb
real.adj
tangible.adj
stooge.verb
shiver.verb
shudder.verb
rest.verb
move.verb
copious.adj
voluminous.adj
doze.verb
drowse.verb
snooze.verb
catch_a_wink.verb
catnap.verb
nap.verb
hibernate.verb
hole_up.verb
rampant.adj
estivate.verb
nod.verb
saw_logs.verb
saw_wood.verb
snore.verb
dope_off.verb
doze_off.verb
drift_off.verb
drop_off.verb
drowse_off.verb
fall_asleep.verb
flake_out.verb
nod_off.verb
bed_down.verb
bed.verb
go_to_bed.verb
go_to_sleep.verb
hit_the_hay.verb
turn_in.verb
even_as.adv
just_as.adv
arise.verb
get_up.verb
rise.verb
turn_out.verb
uprise.verb
kind_of.adv
kinda.adv
rather.adv
sort_of.adv
arouse.verb
awake.verb
awaken.verb
come_alive.verb
wake.verb
wake_up.verb
waken.verb
quite.adv
always.adv
e'er.adv
ever.adv
handy.adj
ready_to_hand.adj
attack.verb
always.adv
constantly.adv
forever.adv
incessantly.adv
perpetually.adv
out_of_reach.adj
unapproachable.adj
unreachable.adj
unreached.adj
hypnotise.verb
hypnotize.verb
mesmerise.verb
mesmerize.verb
shock-absorbent.adj
thirsty.adj
only.adv
only.adv
presume.verb
optimise.verb
quack.verb
romanticize.verb
be_active.verb
oversleep.verb
bunk_down.verb
e'en.adv
native.noun
reawaken.verb
cause_to_sleep.verb
entrance.verb
spellbind.verb
anaesthetise.verb
anaesthetize.verb
anesthetise.verb
anesthetize.verb
put_out.verb
put_under.verb
from_time_to_time.adv
now_and_again.adv
on_occasion.adv
once_in_a_while.adv
food.noun
nutrient.noun
unaccommodating.adj
unobliging.adj
etherise.verb
etherize.verb
cocainise.verb
cocainize.verb
artefact.noun
artifact.noun
bring_round.verb
lang_syne.adv
long_ago.adv
long_since.adv
pretty_much.adv
much.adv
practically.adv
de-energise.verb
de-energize.verb
cognition.noun
knowledge.noun
cathect.verb
gain_vigor.verb
percolate.verb
perk.verb
perk_up.verb
pick_up.verb
away.adj
motivation.noun
motive.noun
need.noun
black_out.verb
pass_out.verb
zonk_out.verb
come_to.verb
resuscitate.verb
revive.verb
freshen.verb
refresh.verb
refreshen.verb
freshen.verb
freshen_up.verb
refresh.verb
refreshen.verb
wash_up.verb
strain.verb
tense.verb
tense_up.verb
anyplace.adv
anywhere.adv
someplace.adv
somewhere.adv
alkalic.adj
in_some_manner.adv
someways.adv
tense.verb
tense_up.verb
anyways.adv
at_any_rate.adv
in_any_case.adv
acidophilous.adj
aciduric.adj
limber_up.verb
loosen_up.verb
warm_up.verb
location.noun
anyhow.adv
anyway.adv
extend.verb
stretch.verb
put_out.verb
stretch_forth.verb
stretch_out.verb
form.noun
shape.noun
til_now.adv
until_now.adv
up_to_now.adv
yet.adv
crane.verb
stretch_out.verb
given.adj
granted.adj
infinite.noun
absolute_space.noun
acquisitive.adj
furthermore.adv
moreover.adv
what_is_more.adv
event.noun
farther.adv
further.adv
physical_process.noun
process.noun
bellylaugh.verb
farther.adv
further.adv
snicker.verb
snigger.verb
giggle.verb
titter.verb
deed.noun
human_action.noun
human_activity.noun
crack_up.verb
farthest.adv
furthest.adv
predaceous.adj
predacious.adj
predatory.adj
farthest.adv
furthest.adv
group.noun
fall_over.verb
go_over.verb
guffaw.verb
laugh_loudly.verb
any_longer.adv
laugh_softly.verb
express_joy.verb
express_mirth.verb
laugh.verb
rattling.adv
real.adv
really.adv
very.adv
about.adj
